area,delivery_eta,discount_pct,error,in_stock,mrp,pincode,product_name,scanned_at,selling_price,store_lat,store_lng,store_name
Iggaluru,,43.2,,False,2699.0,562107,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:25:17.412158,1532.0,12.78979486,77.70420581,e6ebaf4d-7f47-44bd-bb8f-f7ab1e884191
Kyalsanahalli,,43.2,,False,2699.0,560099,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:25:33.402645,1532.0,12.79803706,77.66311187,c647bfb4-1b5a-433d-ba29-0c75c2da883e
Hulimangala,8 min,43.2,,False,2699.0,560100,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:25:52.080254,1532.0,12.8373766,77.64362247,dbf340e3-54d9-4842-98da-e11d23d7e3ac
Doddakammanahalli,,43.2,,False,2699.0,560083,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:26:10.356684,1532.0,12.84495985,77.59398467,5565a614-f2a6-428f-9396-5237db1828e7
Beguru,7 min,43.2,,False,2699.0,560076,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:26:29.025124,1532.0,12.86077262,77.61333628,a7e2806a-ae58-46e2-87ac-a937360ad74f
Somapura,6 min,43.2,,False,2699.0,562125,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:26:48.769964,1532.0,12.86423227,77.77015527,856b33b6-5cfb-4b67-8702-62b49fc5db26
Talagattapura,6 min,43.2,,False,2699.0,560109,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:27:08.688916,1532.0,12.8666929,77.5357013,276795b6-81e7-40f5-9054-efa418de5561
Talagattapura,8 min,43.2,,False,2699.0,560062,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:27:28.799874,1532.0,12.86034948,77.54171841,595183e5-c95f-451c-82b4-38f2de65cd09
Singasandra,9 min,43.2,,False,2699.0,560114,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:27:47.487727,1532.0,12.87771825,77.64508193,d6e7afa1-5e3c-48e4-be20-227555f7984c
Naganathapura,8 min,43.2,,True,2699.0,560035,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:28:04.125388,1532.0,12.8821174,77.6733285,631ed664-2717-487d-9979-1e294b7a1b4e
Yelachenahalli,11 min,43.2,,False,2699.0,560111,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:28:23.829616,1532.0,12.89481283,77.56436304,ccc9dc9b-9c6f-421e-bedc-f2e7463a75e9
Puttenahalli,10 min,43.2,,False,2699.0,560078,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:28:41.874632,1532.0,12.89581,77.58179,23e6d099-8f3c-4cce-b269-82783be7427e
Kudlu,16 min,43.2,,False,2699.0,560068,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:28:59.226784,1532.0,12.8906552,77.6456667,0c02c311-65e5-4495-bcb4-ee96476882bb
Kudlu,7 min,43.2,,False,2699.0,560103,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:29:15.274288,1532.0,12.89366814,77.66299978,6ceb23b1-672d-4fd7-a89c-66163925a764
Gunjur,6 min,43.2,,False,2699.0,560087,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:29:36.600096,1532.0,12.908522,77.71151,16755fdd-f32e-40f1-a39b-397bc73f7e5d
