area,delivery_eta,discount_pct,error,in_stock,mrp,pincode,product_name,scanned_at,selling_price,store_lat,store_lng,store_name
Sector 92,,43.2,,False,2699.0,122505,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:08:12.014905,1532.0,28.410694,76.90725,GGN-Sector 95
Sector 87,7 min,43.2,,False,2699.0,122050,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:08:29.714197,1532.0,28.394882,76.933179,GGN-Sector 86
Sector 70A,7 min,43.2,,False,2699.0,122015,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:08:48.996998,1532.0,28.38621,77.02198,GGN-Sector 70 A
Sector 48,,43.2,,False,2699.0,122101,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:09:05.328659,1532.0,28.39477383,77.03515906,GGN-Sector 69 New
Marbella,24 min,43.2,,False,2699.0,122008,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:09:22.925535,1532.0,28.40211,77.059,GGN-Sector66
Badkhal,6 min,43.2,,False,2699.0,121001,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:09:42.859728,1532.0,28.396046,77.267029,FBD-Sainik Colony
Sector 72,12 min,43.2,,False,2699.0,122004,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:10:01.434714,1532.0,28.41196,77.02917,GGN-SECTOR 71
Sector 49,6 min,43.2,,False,2699.0,122018,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:10:19.483630,1532.0,28.410107,77.051341,GGN-SECTOR 49
Shivaji Nagar,11 min,43.2,,False,2699.0,122001,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:10:38.580133,1532.0,28.44296713,77.01065435,GGN-Sector 10A
Sector 57,6 min,41.1,,False,2599.0,122011,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:11:11.427801,1532.0,28.429491,77.088255,GGN-Ardee City
Sector 39,7 min,43.2,,False,2699.0,122012,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:11:30.991096,1532.0,28.444382,77.05648,GGN-SECTOR 39 NEW
Sector 52,7 min,43.2,,False,2699.0,122003,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:11:52.256325,1532.0,28.435337,77.078114,GGN-Sector 52
Sector 9B,,43.2,,False,2699.0,120001,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:12:11.973546,1532.0,28.455115,76.990607,GGN-Sector 37
Sector 43,12 min,43.2,,False,2699.0,122009,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:12:29.324180,1532.0,28.45309149,77.08238304,GGN-Sushant Lok
Sector 51,,,No suggestions for pin 101301,,,101301,,2026-05-12T13:12:50.263292,,28.42600423,77.06762183,GGN-SECTOR 51
