area,delivery_eta,discount_pct,error,in_stock,mrp,pincode,product_name,scanned_at,selling_price,store_lat,store_lng,store_name
Sector 92,,43.2,,False,2699.0,122505,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:21:47.063993,1532.0,28.410694,76.90725,GGN-Sector 95
Sector 87,6 min,43.2,,False,2699.0,122050,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:22:08.303803,1532.0,28.394882,76.933179,GGN-Sector 86
Sector 70A,12 min,43.2,,False,2699.0,122015,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:22:26.292464,1532.0,28.38621,77.02198,GGN-Sector 70 A
Sector 48,,43.2,,False,2699.0,122101,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:22:44.891766,1532.0,28.39477383,77.03515906,GGN-Sector 69 New
Marbella,15 min,43.2,,False,2699.0,122008,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:23:03.440982,1532.0,28.40211,77.059,GGN-Sector66
Badkhal,8 min,43.2,,False,2699.0,121001,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:23:21.026926,1532.0,28.396046,77.267029,FBD-Sainik Colony
Sector 72,13 min,43.2,,False,2699.0,122004,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:23:42.268780,1532.0,28.41196,77.02917,GGN-SECTOR 71
Sector 49,14 min,43.2,,False,2699.0,122018,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:23:59.621873,1532.0,28.410107,77.051341,GGN-SECTOR 49
Shivaji Nagar,13 min,43.2,,False,2699.0,122001,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:24:18.528523,1532.0,28.44296713,77.01065435,GGN-Sector 10A
Sector 57,7 min,41.1,,False,2599.0,122011,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:24:47.139047,1532.0,28.429491,77.088255,GGN-Ardee City
Sector 39,7 min,43.2,,False,2699.0,122012,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:25:04.389980,1532.0,28.444382,77.05648,GGN-SECTOR 39 NEW
Sector 52,7 min,43.2,,False,2699.0,122003,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:25:23.285858,1532.0,28.435337,77.078114,GGN-Sector 52
