area,delivery_eta,discount_pct,error,in_stock,mrp,pincode,product_name,scanned_at,selling_price,store_lat,store_lng,store_name
Ward 41 Kanchanbagh,,43.2,,False,2699.0,500005,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:32:52.669179,1532.0,17.32266369,78.48882528,HYD-Bandlaguda
Vanasthalipuram,7 min,39.0,,True,2699.0,500074,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:33:25.827552,1647.0,17.33527595,78.55255546,HYD-BAIRAMALGUDA
Vanasthalipuram,6 min,43.2,,False,2699.0,500070,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:33:42.146599,1532.0,17.336359,78.571198,HYD-Vanasthalipuram
Sri Venkateswara Colony,6 min,39.0,,False,2699.0,500091,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:34:00.575694,1647.0,17.3570581,78.3854925,HYD-Bairaghiguda
Ward 57 Suleman Nagar,,43.2,,False,2699.0,500052,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:34:18.485972,1532.0,17.3493007,78.4177916,HYD-Chintalmet
Ward 58 Shastripuram,8 min,43.2,,False,2699.0,500077,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:34:34.128832,1532.0,17.3256389,78.4500278,HYD-Kings colony
,7 min,36.0,,False,2699.0,500086,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:34:51.489608,1727.0,17.35383641,78.36980127,HYD-Indis Pble City
Ward 29 Chawni,7 min,37.9,,False,2699.0,500024,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:35:07.858004,1676.0,17.366977,78.492063,HYD-Chanchalguda
LB Nagar,8 min,39.0,,True,2699.0,500963,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:35:24.612284,1647.0,17.35207396,78.5543485,HYD-LB Nagar
Attapur,7 min,41.6,,False,2699.0,500048,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:35:41.930345,1577.0,17.36568314,78.42128094,HYD-Attapur
Bandlaguda,6 min,43.2,,False,2699.0,500068,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:36:01.693201,1532.0,17.368778,78.576139,HYD-APCO Colony
Mallepally,21 min,43.2,,False,2699.0,500057,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:36:21.772691,1532.0,17.390136,78.4553022,HYD-Nampally
Ward 21 Kothapet,12 min,43.2,,False,2699.0,500060,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:36:40.019432,1532.0,17.37629936,78.5566788,HYD-KOTHAPET NETWORK-2
Narsingi,7 min,39.0,,False,2699.0,500089,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T13:36:57.815772,1647.0,17.393,78.376462,HYD-Neknampur
Ward 38 IS Sadan,,,No suggestions for pin 500659,,,500659,,2026-05-12T13:37:16.831911,,17.34588938,78.52279126,HYD-Champapet
