area,delivery_eta,discount_pct,error,in_stock,mrp,pincode,product_name,scanned_at,selling_price,store_lat,store_lng,store_name
Sector 92,,43.2,,False,2699.0,122505,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:12:52.686705,1532.0,28.410694,76.90725,GGN-Sector 95
Sector 87,7 min,43.2,,False,2699.0,122050,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:13:10.985361,1532.0,28.394882,76.933179,GGN-Sector 86
Sector 70A,4 min,43.2,,False,2699.0,122015,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:13:29.045076,1532.0,28.38621,77.02198,GGN-Sector 70 A
Sector 48,,43.2,,False,2699.0,122101,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:13:47.426077,1532.0,28.39477383,77.03515906,GGN-Sector 69 New
Marbella,13 min,43.2,,False,2699.0,122008,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:14:06.440757,1532.0,28.40211,77.059,GGN-Sector66
Badkhal,7 min,43.2,,False,2699.0,121001,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:14:23.910911,1532.0,28.396046,77.267029,FBD-Sainik Colony
Sector 72,14 min,43.2,,False,2699.0,122004,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:14:40.500729,1532.0,28.41196,77.02917,GGN-SECTOR 71
Sector 49,14 min,43.2,,False,2699.0,122018,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:14:57.229052,1532.0,28.410107,77.051341,GGN-SECTOR 49
Shivaji Nagar,14 min,43.2,,False,2699.0,122001,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:15:18.157711,1532.0,28.44296713,77.01065435,GGN-Sector 10A
Sector 57,5 min,41.1,,False,2599.0,122011,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:15:49.706572,1532.0,28.429491,77.088255,GGN-Ardee City
Sector 39,7 min,43.2,,False,2699.0,122012,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:16:09.614291,1532.0,28.444382,77.05648,GGN-SECTOR 39 NEW
Sector 52,7 min,43.2,,False,2699.0,122003,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:16:28.583769,1532.0,28.435337,77.078114,GGN-Sector 52
Sector 9B,,43.2,,False,2699.0,120001,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:16:48.465718,1532.0,28.455115,76.990607,GGN-Sector 37
Sector 43,13 min,43.2,,False,2699.0,122009,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:17:09.267368,1532.0,28.45309149,77.08238304,GGN-Sushant Lok
HUDA Sector 27,8 min,43.2,,False,2699.0,122002,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:17:29.960673,1532.0,28.46331087,77.09432046,GGN-Sector 27 new
Sector 102,6 min,43.2,,True,2699.0,122006,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:17:49.887752,1532.0,28.4748083,76.9626118,GGN-Sector 102
Sector 30,10 min,43.2,,False,2699.0,122022,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:18:05.845735,1532.0,28.459997,77.057077,GGN-SECTOR 39 NETWORK-3
Sector 13,4 min,43.2,,False,2699.0,122007,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:18:23.609007,1532.0,28.479793,77.04665,GGN-Sector 14
