area,delivery_eta,discount_pct,error,in_stock,mrp,pincode,product_name,scanned_at,selling_price,store_lat,store_lng,store_name
Sector 22,6 min,43.2,,False,2699.0,122016,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:18:40.523888,1532.0,28.506127,77.069438,GGN-Udyog Vihar New
Vasant Vihar Tehsil,,43.2,,False,2699.0,110047,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:18:59.941202,1532.0,28.494128,77.145755,DEL-Ghitorni
Sector 2,7 min,43.2,,False,2699.0,122017,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:19:20.093092,1532.0,28.503209,77.031636,GGN-Palam Vihar
Sector 24,13 min,43.2,,False,2699.0,122010,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:19:36.772374,1532.0,28.49603,77.109233,GGN-Sector 24 New
Chhattarpur,,43.2,,False,2699.0,110074,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:19:54.283556,1532.0,28.495495,77.185081,DEL-CHATTARPUR
Sangam Vihar,6 min,43.2,,False,2699.0,110080,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:20:14.006192,1532.0,28.500805,77.235137,DEL-Khanpur
Chhattarpur,,43.2,,False,2699.0,110068,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:20:32.458570,1532.0,28.5017175,77.1858712,DEL-Chattarpur Enclave
Vasant Vihar Tehsil,23 min,43.2,,False,2699.0,110070,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:20:51.084584,1532.0,28.5251672,77.1545416,DEL-VASANT KUNJ
Tughlakabad,6 min,43.2,,False,2699.0,110076,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:21:09.136020,1532.0,28.52276,77.261513,DEL-Kalkaji Network
Hauz Khas,7 min,43.2,,False,2699.0,110017,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:21:25.618838,1532.0,28.537299,77.207585,DEL-Malviya Nagar Network
Sector 51,,,No suggestions for pin 101301,,,101301,,2026-05-12T12:21:44.654668,,28.42600423,77.06762183,GGN-SECTOR 51
Vasant Vihar Tehsil,,43.2,,False,2699.0,110037,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T12:21:56.368333,1532.0,28.544371,77.128642,DEL-Mahipalpur
