store_name,store_lat,store_lng,delivery_lat,delivery_lng,product_name,mrp,selling_price,discount_pct,in_stock,delivery_eta,scanned_at,error
GGN-Sector 95,28.410694,76.90725,28.41056,76.909347,Bigmuscles Nutrition Nitric Whey Unflavoured,6399.0,1.0,100.0,True,,2026-05-10T10:46:11.400902,
GGN-Sector 86,28.394882,76.933179,28.395104,76.935355,Bigmuscles Nutrition Nitric Whey Unflavoured,8698.0,1.0,100.0,True,,2026-05-10T10:46:32.693874,
GGN- Sector 82,28.39908847,76.95452254,28.398368,76.954413,Bigmuscles Nutrition Nitric Whey Unflavoured,6399.0,1.0,100.0,True,,2026-05-10T10:46:53.895858,
