store_name,store_lat,store_lng,delivery_lat,delivery_lng,product_name,mrp,selling_price,discount_pct,in_stock,delivery_eta,scanned_at,error
GGN-Sector 95,28.410694,76.90725,28.40905,76.909051,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1215.0,55.0,True,,2026-05-10T10:52:06.782350,
GGN-Sector 86,28.394882,76.933179,28.393925,76.93404,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1215.0,55.0,True,,2026-05-10T10:52:28.580880,
GGN- Sector 82,28.39908847,76.95452254,28.397773,76.955838,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1215.0,55.0,True,,2026-05-10T10:52:49.094870,
