store_name,store_lat,store_lng,pincode,area,product_name,mrp,selling_price,discount_pct,in_stock,delivery_eta,scanned_at,error
GGN-Sector 27 new,28.46331087,77.09432046,122002,HUDA Sector 27,,,,,,,2026-05-10T23:20:55.162978,No suggestions for pin 122002
GGN-Sector 102,28.4748083,76.9626118,122006,Sector 102,,,,,,,2026-05-10T23:21:37.750397,No suggestions for pin 122006
GGN-SECTOR 39 NETWORK-3,28.459997,77.057077,122022,Sector 30,,,,,,,2026-05-10T23:22:21.238442,No suggestions for pin 122022
GGN-Sector 14,28.479793,77.04665,122007,Sector 13,,,,,,,2026-05-10T23:23:04.109403,No suggestions for pin 122007
GGN-Udyog Vihar New,28.506127,77.069438,122016,Sector 22,,,,,,,2026-05-10T23:23:47.831641,No suggestions for pin 122016
DEL-Ghitorni,28.494128,77.145755,110047,Vasant Vihar Tehsil,,,,,,,2026-05-10T23:24:31.308094,No suggestions for pin 110047
GGN-Palam Vihar,28.503209,77.031636,122017,Sector 2,,,,,,,2026-05-10T23:25:14.677595,No suggestions for pin 122017
GGN-Sector 24 New,28.49603,77.109233,122010,Sector 24,,,,,,,2026-05-10T23:25:58.076008,No suggestions for pin 122010
DEL-CHATTARPUR,28.495495,77.185081,110074,Chhattarpur,,,,,,,2026-05-10T23:26:41.679547,No suggestions for pin 110074
DEL-Khanpur,28.500805,77.235137,110080,Sangam Vihar,,,,,,,2026-05-10T23:27:24.600030,No suggestions for pin 110080
DEL-Chattarpur Enclave,28.5017175,77.1858712,110068,Chhattarpur,,,,,,,2026-05-10T23:28:07.462763,No suggestions for pin 110068
DEL-VASANT KUNJ,28.5251672,77.1545416,110070,Vasant Vihar Tehsil,,,,,,,2026-05-10T23:28:50.191266,No suggestions for pin 110070
DEL-Kalkaji Network,28.52276,77.261513,110076,Tughlakabad,,,,,,,2026-05-10T23:29:33.202569,No suggestions for pin 110076
DEL-Malviya Nagar Network,28.537299,77.207585,110017,Hauz Khas,,,,,,,2026-05-10T23:30:16.606582,No suggestions for pin 110017
DEL-Mahipalpur,28.544371,77.128642,110037,Vasant Vihar Tehsil,,,,,,,2026-05-10T23:30:59.467113,No suggestions for pin 110037
DEL-Sarita Vihar,28.537425,77.296626,110025,Sarita Vihar,,,,,,,2026-05-10T23:31:42.970313,No suggestions for pin 110025
DEL-Dwarka Sector 10 Network-4,28.558292,77.050021,110061,Kapashera Tehsil,,,,,,,2026-05-10T23:32:26.969675,No suggestions for pin 110061
DEL-Munirka,28.556305,77.173222,110022,Vasant Vihar Tehsil,,,,,,,2026-05-10T23:33:10.137223,No suggestions for pin 110022
DEL-South Extension Network,28.56269211,77.21138522,110049,South Extension,,,,,,,2026-05-10T23:33:53.605291,No suggestions for pin 110049
DEL - East of Kailash,28.554289,77.243605,110019,Kalkaji Tehsil,,,,,,,2026-05-10T23:34:35.806971,No suggestions for pin 110019
NOD-Sector 46 Network,28.556297,77.350386,201303,,,,,,,,2026-05-10T23:35:18.371473,No suggestions for pin 201303
DEL-RK PURAM,28.567889,77.189055,110066,Kidwai Nagar,,,,,,,2026-05-10T23:36:01.369448,No suggestions for pin 110066
DEL-East Of Kailash Network,28.56098539,77.25185553,110065,Defence Colony Tehsil,,,,,,,2026-05-10T23:36:43.557449,No suggestions for pin 110065
Del-Dwarka Sector 19,28.5773584,77.05046,110075,Dwarka,,,,,,,2026-05-10T23:37:27.050699,No suggestions for pin 110075
DEL-Bagdola,28.57344104,77.07253362,110077,Dwarka,,,,,,,2026-05-10T23:38:10.494919,No suggestions for pin 110077
DEL-Jangpura,28.5774712,77.2598391,110014,Defence Colony Tehsil,,,,,,,2026-05-10T23:38:53.854521,No suggestions for pin 110014
NOD-Sector 4,28.58336104,77.31994863,110096,Harola,,,,,,,2026-05-10T23:39:37.063039,No suggestions for pin 110096
DEL-Dwarka Sec 17,28.59409345,77.02550957,110078,Dwarka,,,,,,,2026-05-10T23:40:18.938264,No suggestions for pin 110078
DEL-Mahavir Enclave Network,28.598741,77.091854,110045,Palam,,,,,,,2026-05-10T23:41:01.881068,No suggestions for pin 110045
DEL-Trilokpuri,28.598169,77.300041,110091,Mayur Vihar Tehsil,,,,,,,2026-05-10T23:41:44.942971,No suggestions for pin 110091
DEL-Najafgarh,28.6119975,76.9890681,110043,Najafgarh,,,,,,,2026-05-10T23:42:26.961810,No suggestions for pin 110043
DEL-UTTAM NAGAR NETWORK,28.61611894,77.0469049,110059,Patel Nagar,,,,,,,2026-05-10T23:43:10.751475,No suggestions for pin 110059
DEL-JANAKPURI,28.621729,77.082744,110058,Janakpuri,,,,,,,2026-05-10T23:43:52.888540,No suggestions for pin 110058
DEL-Mayapuri,28.624069,77.118918,110064,Mayapuri,,,,,,,2026-05-10T23:44:35.953956,No suggestions for pin 110064
DEL-IP EXTENSION,28.631945,77.297721,110092,Preet Vihar,,,,,,,2026-05-10T23:45:18.720136,No suggestions for pin 110092
DEL-Vikaspuri,28.638731,77.070444,110018,Vikaspuri,,,,,,,2026-05-10T23:46:02.110855,No suggestions for pin 110018
DEL-KIRTI NAGAR NETWORK,28.63907433,77.12978363,110027,Patel Nagar,,,,,,,2026-05-10T23:46:45.993565,No suggestions for pin 110027
DEL-KIRTI NAGAR,28.654999,77.143668,110015,Kirti Nagar,,,,,,,2026-05-10T23:47:28.871370,No suggestions for pin 110015
DEL-Connaught Place,28.641493,77.234596,110006,Old Delhi,,,,,,,2026-05-10T23:48:12.236342,No suggestions for pin 110006
DEL-ANAND VIHAR,28.648976,77.302663,110051,Vivek Vihar Tehsil,,,,,,,2026-05-10T23:48:55.690324,No suggestions for pin 110051
GZB-Gyan Khand,28.643889,77.349417,201001,Vaishali,,,,,,,2026-05-10T23:49:37.409450,No suggestions for pin 201001
DEL-East Patel Nagar,28.64389623,77.17236463,110008,Patel Nagar,,,,,,,2026-05-10T23:50:21.275145,No suggestions for pin 110008
DEL-Karol Bagh Main New,28.65133441,77.19587294,110060,Karol Bagh,,,,,,,2026-05-10T23:51:04.784166,No suggestions for pin 110060
DEL-Anand Vihar Network,28.6557301,77.2756487,110031,Vivek Vihar Tehsil,,,,,,,2026-05-10T23:51:48.215068,No suggestions for pin 110031
DEL-Nangloi,28.661143,77.084335,110087,Paschim Vihar,,,,,,,2026-05-10T23:52:30.918226,No suggestions for pin 110087
DEL-Paschim Vihar,28.669035,77.104414,110063,Paschim Vihar,,,,,,,2026-05-10T23:53:14.115746,No suggestions for pin 110063
DEL-Nangloi Extension,28.678831,77.065048,110041,Nangloi,,,,,,,2026-05-10T23:53:58.121796,No suggestions for pin 110041
DEL-SHAKTI NAGAR,28.684013,77.196556,110007,Civil Lines Tehsil,,,,,,,2026-05-10T23:54:41.189298,No suggestions for pin 110007
DEL-Dilshad Garden New,28.677253,77.308197,110095,Vivek Vihar,,,,,,,2026-05-10T23:55:24.015840,No suggestions for pin 110095
DEL-PITAMPURA NEW,28.690002,77.134438,110034,Pitampura,,,,,,,2026-05-10T23:56:07.087434,No suggestions for pin 110034
DEL-WAZIRPUR,28.7022786,77.1674819,110088,Shalimar Bagh,,,,,,,2026-05-10T23:56:50.733089,No suggestions for pin 110088
DEL-Shahdara,28.689378,77.273315,110053,Bhajanpura,,,,,,,2026-05-10T23:57:33.156897,No suggestions for pin 110053
DEL-Durgapuri,28.689691,77.296863,110093,Babarpur,,,,,,,2026-05-10T23:58:16.388524,No suggestions for pin 110093
DEL-Vijay Vihar Phase 2,28.70743854,77.10099292,110085,Rohini,,,,,,,2026-05-10T23:58:59.851236,No suggestions for pin 110085
DEL-Rohini Sector 21,28.71142,77.06297,110086,Rohini,,,,,,,2026-05-10T23:59:42.906655,No suggestions for pin 110086
DEL-Pitampura network,28.716004,77.134997,110089,Rohini,,,,,,,2026-05-11T00:00:25.362649,No suggestions for pin 110089
DEL-Model Town Network,28.704421,77.195459,110009,Model Town,,,,,,,2026-05-11T00:01:08.745030,No suggestions for pin 110009
DEL-Wazirpur Network,28.720401,77.167386,110033,Jahangir Puri,,,,,,,2026-05-11T00:01:51.856899,No suggestions for pin 110033
DEL-Santnagar,28.747121,77.197725,110084,Civil Lines Tehsil,,,,,,,2026-05-11T00:02:34.866679,No suggestions for pin 110084
DEL-Sanoth Village,28.81696288,77.0685038,110039,Narela Tehsil,,,,,,,2026-05-11T00:03:18.575351,No suggestions for pin 110039
DEL-Narela,28.8531944,77.1017222,110040,Narela Tehsil,,,,,,,2026-05-11T00:04:01.724486,No suggestions for pin 110040
NOD-Sector 58,28.606783,77.358765,201309,,,,,,,,2026-05-11T00:04:45.171004,No suggestions for pin 201309
NOD-Sector 73 Network,28.583612,77.371656,201301,,,,,,,,2026-05-11T00:05:28.086201,No suggestions for pin 201301
NOD-SECTOR 73 NOIDA,28.591555,77.381076,201316,Mamura,,,,,,,2026-05-11T00:06:11.222383,No suggestions for pin 201316
NOD-NOIDA EXTENSION NETWORK,28.601754,77.44594,201318,,,,,,,,2026-05-11T00:06:53.980326,No suggestions for pin 201318
GZB-GAUR CITY,28.619894,77.417216,201016,,,,,,,,2026-05-11T00:07:36.199427,No suggestions for pin 201016
GZB-INDIRAPURAM Network 2,28.65466393,77.3618118,201012,Vasundhara,,,,,,,2026-05-11T00:08:18.677488,No suggestions for pin 201012
FBD-Ballabgarh,28.347248,77.336472,121004,,,,,,,,2026-05-11T00:09:01.765284,No suggestions for pin 121004
