store_name,store_lat,store_lng,pincode,area,product_name,mrp,selling_price,discount_pct,in_stock,delivery_eta,scanned_at,error
GGN-Sector 95,28.410694,76.90725,122505,Sector 92,,,,,,,2026-05-10T19:22:07.786699,No suggestions for pin 122505
GGN-Sector 86,28.394882,76.933179,122050,Sector 87,Apple AirPods 4 | Wireless Earbuds,12900.0,9999.0,22.5,False,7 min,2026-05-10T19:22:50.392674,
GGN-Sector 70 A,28.38621,77.02198,122015,Sector 70A,,,,,,,2026-05-10T19:23:17.135217,No suggestions for pin 122015
GGN-Sector 69 New,28.39477383,77.03515906,122101,Sector 48,,,,,,,2026-05-10T19:24:03.028464,No suggestions for pin 122101
GGN-Sector66,28.40211,77.059,122008,Marbella,,,,,,,2026-05-10T19:54:48.068444,No suggestions for pin 122008
FBD-Sainik Colony,28.396046,77.267029,121001,Badkhal,,,,,,,2026-05-10T20:28:21.035427,No suggestions for pin 121001
GGN-SECTOR 71,28.41196,77.02917,122004,Sector 72,,,,,,,2026-05-10T20:54:03.872947,No suggestions for pin 122004
GGN-SECTOR 49,28.410107,77.051341,122018,Sector 49,,,,,,,2026-05-10T21:24:27.878569,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.zepto.com/"", waiting until ""domcontentloaded""
"
GGN-Sector 10A,28.44296713,77.01065435,122001,Shivaji Nagar,,,,,,,2026-05-10T21:41:11.897100,No suggestions for pin 122001
GGN-SECTOR 51,28.42600423,77.06762183,101301,Sector 51,,,,,,,2026-05-10T21:57:06.337447,No suggestions for pin 101301
GGN-Ardee City,28.429491,77.088255,122011,Sector 57,,,,,,,2026-05-10T22:42:20.868208,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.zepto.com/"", waiting until ""domcontentloaded""
"
GGN-SECTOR 39 NEW,28.444382,77.05648,122012,Sector 39,,,,,,,2026-05-10T23:06:35.573372,No suggestions for pin 122012
GGN-Sector 52,28.435337,77.078114,122003,Sector 52,,,,,,,2026-05-10T23:18:46.574622,No suggestions for pin 122003
GGN-Sector 37,28.455115,76.990607,120001,Sector 9B,,,,,,,2026-05-10T23:19:29.305807,No suggestions for pin 120001
GGN-Sushant Lok,28.45309149,77.08238304,122009,Sector 43,,,,,,,2026-05-10T23:20:11.207053,No suggestions for pin 122009
